----- Insertion Sort, n = 1000 -----
Before			After
4007			4007
348263			4147
259846			4773
234690			6598
438890			6913
440870			7287
705068			8222
82955			8340
226931			8697
40442			8831
712132			8918
810925			9495
225972			11655
923866			11975
417294			14490
461510			15604
603407			15870
465949			17902
209500			18838
82856			20138
573360			21199
473487			21290
908448			22632
293752			23168
98517			24456
789060			24930
736691			29324
566400			32035
500189			32501
681509			34057
123564			36707
752933			38451
553103			40442
8831			41020
427273			41696
177504			43119
314351			43280
300881			49035
911168			50453
4773			51193
228533			52178
969296			52642
960508			52845
269454			54438
720142			54775
442845			55968
901223			56694
871311			57639
138237			58031
349705			58122
505460			58324
278552			59075
635126			59571
571910			60693
107769			61155
285689			61259
578242			61303
522552			61518
540333			65143
386283			66897
268409			66924
160133			67960
370664			68733
751025			71098
487615			71375
353189			72330
61259			73425
594149			73535
871044			74395
647943			75281
990674			75696
263509			75942
810513			80387
293100			82615
147306			82667
776707			82856
121897			82955
737654			84352
755128			85235
441896			86548
956389			86790
41696			88045
792011			91477
345635			91801
91801			92403
911144			94905
603531			96355
549211			97802
595637			98517
885545			98748
358726			100328
120578			101053
559461			101431
864919			101978
703177			103122
302847			103508
965197			103835
66897			104721
347188			104952
192164			105537
0.002266
----- Selection Sort, n = 1000 -----
Before			After
4007			4007
348263			4147
259846			4773
234690			6598
438890			6913
440870			7287
705068			8222
82955			8340
226931			8697
40442			8831
712132			8918
810925			9495
225972			11655
923866			11975
417294			14490
461510			15604
603407			15870
465949			17902
209500			18838
82856			20138
573360			21199
473487			21290
908448			22632
293752			23168
98517			24456
789060			24930
736691			29324
566400			32035
500189			32501
681509			34057
123564			36707
752933			38451
553103			40442
8831			41020
427273			41696
177504			43119
314351			43280
300881			49035
911168			50453
4773			51193
228533			52178
969296			52642
960508			52845
269454			54438
720142			54775
442845			55968
901223			56694
871311			57639
138237			58031
349705			58122
505460			58324
278552			59075
635126			59571
571910			60693
107769			61155
285689			61259
578242			61303
522552			61518
540333			65143
386283			66897
268409			66924
160133			67960
370664			68733
751025			71098
487615			71375
353189			72330
61259			73425
594149			73535
871044			74395
647943			75281
990674			75696
263509			75942
810513			80387
293100			82615
147306			82667
776707			82856
121897			82955
737654			84352
755128			85235
441896			86548
956389			86790
41696			88045
792011			91477
345635			91801
91801			92403
911144			94905
603531			96355
549211			97802
595637			98517
885545			98748
358726			100328
120578			101053
559461			101431
864919			101978
703177			103122
302847			103508
965197			103835
66897			104721
347188			104952
192164			105537
0.002109
----- Bubble Sort, n = 1000 -----
Before			After
4007			4007
348263			4773
259846			6598
234690			6913
438890			8340
440870			8697
705068			8831
82955			8918
226931			11655
40442			11975
712132			18838
810925			21199
225972			21290
923866			24930
417294			38451
461510			40442
603407			41696
465949			43119
209500			43280
82856			49035
573360			50453
473487			52642
908448			54775
293752			57639
98517			58031
789060			59075
736691			61259
566400			61303
500189			66897
681509			67960
123564			68733
752933			71375
553103			75696
8831			80387
427273			82615
177504			82856
314351			82955
300881			84352
911168			85235
4773			86790
228533			88045
969296			91801
960508			97802
269454			98517
720142			98748
442845			101431
901223			101978
871311			103122
138237			107769
349705			107787
505460			52845
278552			108693
635126			74395
571910			111600
107769			112732
285689			115335
578242			117040
522552			119111
540333			120016
386283			103508
268409			120210
160133			120578
370664			121897
751025			122735
487615			122903
353189			71098
61259			123564
594149			128517
871044			135353
647943			135694
990674			138237
263509			138502
810513			139122
293100			140570
147306			144599
776707			146393
121897			20138
737654			147027
755128			147306
441896			140276
956389			147460
41696			152219
792011			153024
345635			153694
91801			156453
911144			157990
603531			159032
549211			160133
595637			160676
885545			162331
358726			168212
120578			170602
559461			174808
864919			163768
703177			174991
302847			175153
965197			176331
66897			177504
347188			178037
192164			181865
0.003828
----- Merge Sort, n = 1000 -----
Before			After
4007			4007
348263			4147
259846			4773
234690			6598
438890			6913
440870			7287
705068			8222
82955			8340
226931			8697
40442			8831
712132			8918
810925			9495
225972			11655
923866			11975
417294			14490
461510			15604
603407			15870
465949			17902
209500			18838
82856			20138
573360			21199
473487			21290
908448			22632
293752			23168
98517			24456
789060			24930
736691			29324
566400			32035
500189			32501
681509			34057
123564			36707
752933			38451
553103			40442
8831			41020
427273			41696
177504			43119
314351			43280
300881			49035
911168			50453
4773			51193
228533			52178
969296			52642
960508			52845
269454			54438
720142			54775
442845			55968
901223			56694
871311			57639
138237			58031
349705			58122
505460			58324
278552			59075
635126			59571
571910			60693
107769			61155
285689			61259
578242			61303
522552			61518
540333			65143
386283			66897
268409			66924
160133			67960
370664			68733
751025			71098
487615			71375
353189			72330
61259			73425
594149			73535
871044			74395
647943			75281
990674			75696
263509			75942
810513			80387
293100			82615
147306			82667
776707			82856
121897			82955
737654			84352
755128			85235
441896			86548
956389			86790
41696			88045
792011			91477
345635			91801
91801			92403
911144			94905
603531			96355
549211			97802
595637			98517
885545			98748
358726			100328
120578			101053
559461			101431
864919			101978
703177			103122
302847			103508
965197			103835
66897			104721
347188			104952
192164			105537
0.000078
----- Quick Sort, n = 1000 -----
Before			After
4007			4007
348263			4147
259846			4773
234690			6598
438890			6913
440870			7287
705068			8222
82955			8340
226931			8697
40442			8831
712132			8918
810925			9495
225972			11655
923866			11975
417294			14490
461510			15604
603407			15870
465949			17902
209500			18838
82856			20138
573360			21199
473487			21290
908448			22632
293752			23168
98517			24456
789060			24930
736691			29324
566400			32035
500189			32501
681509			34057
123564			36707
752933			38451
553103			40442
8831			41020
427273			41696
177504			43119
314351			43280
300881			49035
911168			50453
4773			51193
228533			52178
969296			52642
960508			52845
269454			54438
720142			54775
442845			55968
901223			56694
871311			57639
138237			58031
349705			58122
505460			58324
278552			59075
635126			59571
571910			60693
107769			61155
285689			61259
578242			61303
522552			61518
540333			65143
386283			66897
268409			66924
160133			67960
370664			68733
751025			71098
487615			71375
353189			72330
61259			73425
594149			73535
871044			74395
647943			75281
990674			75696
263509			75942
810513			80387
293100			82615
147306			82667
776707			82856
121897			82955
737654			84352
755128			85235
441896			86548
956389			86790
41696			88045
792011			91477
345635			91801
91801			92403
911144			94905
603531			96355
549211			97802
595637			98517
885545			98748
358726			100328
120578			101053
559461			101431
864919			101978
703177			103122
302847			103508
965197			103835
66897			104721
347188			104952
192164			105537
0.000156
----- Insertion Sort, n = 10000 -----
Before			After
4007			52
348263			292
259846			362
234690			472
438890			796
440870			851
705068			907
82955			954
226931			1372
40442			1388
712132			1411
810925			1512
225972			1610
923866			1695
417294			1953
461510			2173
603407			2389
465949			2421
209500			2560
82856			2594
573360			2657
473487			2665
908448			2846
293752			2944
98517			2954
789060			2967
736691			3189
566400			3304
500189			3575
681509			3905
123564			3977
752933			4007
553103			4133
8831			4138
427273			4147
177504			4161
314351			4179
300881			4185
911168			4225
4773			4230
228533			4263
969296			4609
960508			4676
269454			4742
720142			4743
442845			4756
901223			4773
871311			4887
138237			4947
349705			5130
505460			5135
278552			5182
635126			5281
571910			5476
107769			5520
285689			5532
578242			5843
522552			6062
540333			6272
386283			6277
268409			6477
160133			6500
370664			6537
751025			6563
487615			6570
353189			6598
61259			6740
594149			6785
871044			6808
647943			6851
990674			6913
263509			7171
810513			7183
293100			7282
147306			7287
776707			7451
121897			7622
737654			7800
755128			8096
441896			8221
956389			8222
41696			8340
792011			8408
345635			8528
91801			8570
911144			8684
603531			8697
549211			8715
595637			8751
885545			8831
358726			8918
120578			8920
559461			8934
864919			8996
703177			9102
302847			9158
965197			9246
66897			9262
347188			9285
192164			9310
0.226562
----- Selection Sort, n = 10000 -----
Before			After
4007			52
348263			292
259846			362
234690			472
438890			796
440870			851
705068			907
82955			954
226931			1372
40442			1388
712132			1411
810925			1512
225972			1610
923866			1695
417294			1953
461510			2173
603407			2389
465949			2421
209500			2560
82856			2594
573360			2657
473487			2665
908448			2846
293752			2944
98517			2954
789060			2967
736691			3189
566400			3304
500189			3575
681509			3905
123564			3977
752933			4007
553103			4133
8831			4138
427273			4147
177504			4161
314351			4179
300881			4185
911168			4225
4773			4230
228533			4263
969296			4609
960508			4676
269454			4742
720142			4743
442845			4756
901223			4773
871311			4887
138237			4947
349705			5130
505460			5135
278552			5182
635126			5281
571910			5476
107769			5520
285689			5532
578242			5843
522552			6062
540333			6272
386283			6277
268409			6477
160133			6500
370664			6537
751025			6563
487615			6570
353189			6598
61259			6740
594149			6785
871044			6808
647943			6851
990674			6913
263509			7171
810513			7183
293100			7282
147306			7287
776707			7451
121897			7622
737654			7800
755128			8096
441896			8221
956389			8222
41696			8340
792011			8408
345635			8528
91801			8570
911144			8684
603531			8697
549211			8715
595637			8751
885545			8831
358726			8918
120578			8920
559461			8934
864919			8996
703177			9102
302847			9158
965197			9246
66897			9262
347188			9285
192164			9310
0.207031
----- Bubble Sort, n = 10000 -----
Before			After
4007			292
348263			362
259846			472
234690			851
438890			907
440870			1372
705068			1512
82955			2173
226931			2560
40442			2594
712132			2657
810925			2846
225972			2967
923866			3905
417294			4007
461510			4147
603407			4185
465949			4225
209500			4756
82856			4773
573360			4947
473487			5130
908448			6062
293752			6272
98517			6477
789060			6500
736691			6598
566400			6851
500189			6913
681509			7171
123564			7282
752933			7287
553103			7622
8831			7800
427273			8222
177504			8340
314351			8408
300881			8684
911168			8697
4773			8831
228533			8918
969296			8996
960508			9102
269454			9158
720142			9262
442845			9285
901223			9379
871311			9495
138237			9746
349705			9921
505460			9925
278552			10058
635126			10512
571910			10518
107769			10597
285689			11655
578242			11698
522552			11807
540333			11975
386283			12420
268409			12917
160133			13189
370664			13547
751025			13873
487615			13989
353189			14011
61259			14200
594149			14490
871044			14752
647943			14828
990674			15139
263509			15158
810513			15213
293100			15288
147306			15604
776707			8715
121897			15865
737654			15870
755128			15949
441896			16519
956389			16644
41696			16656
792011			16776
345635			17517
91801			17684
911144			17691
603531			17902
549211			18123
595637			18169
885545			18343
358726			18658
120578			18779
559461			18838
864919			19657
703177			19818
302847			19969
965197			15532
66897			20138
347188			20455
192164			20546
0.370312
----- Merge Sort, n = 10000 -----
Before			After
4007			52
348263			292
259846			362
234690			472
438890			796
440870			851
705068			907
82955			954
226931			1372
40442			1388
712132			1411
810925			1512
225972			1610
923866			1695
417294			1953
461510			2173
603407			2389
465949			2421
209500			2560
82856			2594
573360			2657
473487			2665
908448			2846
293752			2944
98517			2954
789060			2967
736691			3189
566400			3304
500189			3575
681509			3905
123564			3977
752933			4007
553103			4133
8831			4138
427273			4147
177504			4161
314351			4179
300881			4185
911168			4225
4773			4230
228533			4263
969296			4609
960508			4676
269454			4742
720142			4743
442845			4756
901223			4773
871311			4887
138237			4947
349705			5130
505460			5135
278552			5182
635126			5281
571910			5476
107769			5520
285689			5532
578242			5843
522552			6062
540333			6272
386283			6277
268409			6477
160133			6500
370664			6537
751025			6563
487615			6570
353189			6598
61259			6740
594149			6785
871044			6808
647943			6851
990674			6913
263509			7171
810513			7183
293100			7282
147306			7287
776707			7451
121897			7622
737654			7800
755128			8096
441896			8221
956389			8222
41696			8340
792011			8408
345635			8528
91801			8570
911144			8684
603531			8697
549211			8715
595637			8751
885545			8831
358726			8918
120578			8920
559461			8934
864919			8996
703177			9102
302847			9158
965197			9246
66897			9262
347188			9285
192164			9310
0.002344
----- Quick Sort, n = 10000 -----
Before			After
4007			52
348263			292
259846			362
234690			472
438890			796
440870			851
705068			907
82955			954
226931			1372
40442			1388
712132			1411
810925			1512
225972			1610
923866			1695
417294			1953
461510			2173
603407			2389
465949			2421
209500			2560
82856			2594
573360			2657
473487			2665
908448			2846
293752			2944
98517			2954
789060			2967
736691			3189
566400			3304
500189			3575
681509			3905
123564			3977
752933			4007
553103			4133
8831			4138
427273			4147
177504			4161
314351			4179
300881			4185
911168			4225
4773			4230
228533			4263
969296			4609
960508			4676
269454			4742
720142			4743
442845			4756
901223			4773
871311			4887
138237			4947
349705			5130
505460			5135
278552			5182
635126			5281
571910			5476
107769			5520
285689			5532
578242			5843
522552			6062
540333			6272
386283			6277
268409			6477
160133			6500
370664			6537
751025			6563
487615			6570
353189			6598
61259			6740
594149			6785
871044			6808
647943			6851
990674			6913
263509			7171
810513			7183
293100			7282
147306			7287
776707			7451
121897			7622
737654			7800
755128			8096
441896			8221
956389			8222
41696			8340
792011			8408
345635			8528
91801			8570
911144			8684
603531			8697
549211			8715
595637			8751
885545			8831
358726			8918
120578			8920
559461			8934
864919			8996
703177			9102
302847			9158
965197			9246
66897			9262
347188			9285
192164			9310
0.001563
----- Insertion Sort, n = 100000 -----
Before			After
4007			12
348263			25
259846			34
234690			34
438890			51
440870			52
705068			66
82955			73
226931			78
40442			80
712132			81
810925			82
225972			105
923866			117
417294			130
461510			153
603407			165
465949			172
209500			201
82856			214
573360			215
473487			216
908448			235
293752			274
98517			292
789060			299
736691			345
566400			348
500189			362
681509			377
123564			397
752933			398
553103			400
8831			419
427273			428
177504			431
314351			457
300881			463
911168			472
4773			485
228533			493
969296			533
960508			544
269454			561
720142			568
442845			573
901223			580
871311			595
138237			596
349705			640
